barcode,CIL56,MS,modulator,cell,mother,available
15051KS001,0,0.5,DMSO,HT1080,MS384001,
15051KS002,0,0.5,DMSO,HT1080,MS384001,
15051KS003,0.31,1,DMSO,HT1080,MS384001,
15051KS004,0.31,1,DMSO,HT1080,MS384001,
15051KS005,0.63,2,DMSO,HT1080,MS384001,
15051KS006,0.63,2,DMSO,HT1080,MS384001,
15051KS007,1.25,4,DMSO,HT1080,MS384001,
15051KS008,1.25,4,DMSO,HT1080,MS384001,
15051KS009,0,0.5,DMSO,HT1080,MS384001,
15051KS010,0,0.5,DMSO,HT1080,MS384001,
15051KS011,0.31,1,DMSO,HT1080,MS384001,
15051KS012,0.31,1,DMSO,HT1080,MS384001,
15051KS013,0.63,2,DMSO,HT1080,MS384001,
15051KS014,0.63,2,DMSO,HT1080,MS384001,
15051KS015,1.25,4,DMSO,HT1080,MS384001,
15051KS016,1.25,4,DMSO,HT1080,MS384001
15051KS017,0,0.5,DMSO,HT1080,MS384001
15051KS018,0,0.5,DMSO,HT1080,MS384001
15051KS019,0.31,1,DMSO,HT1080,MS384001
15051KS020,0.31,1,DMSO,HT1080,MS384001
15051KS021,0.63,2,DMSO,HT1080,MS384001
15051KS022,0.63,2,DMSO,HT1080,MS384001
15051KS023,1.25,4,DMSO,HT1080,MS384001
15051KS024,1.25,4,DMSO,HT1080,MS384001
15051KS025,0,0.5,DMSO,HT1080,MS384001
15051KS026,0,0.5,DMSO,HT1080,MS384001
15051KS027,0.31,1,DMSO,HT1080,MS384001
15051KS028,0.31,1,DMSO,HT1080,MS384001
15051KS029,0.63,2,DMSO,HT1080,MS384001
15051KS030,0.63,2,DMSO,HT1080,MS384001
15051KS031,1.25,4,DMSO,HT1080,MS384001
15051KS032,1.25,4,DMSO,HT1080,MS384001,
15051KS033,0,0.5,ATOC,HT1080,MS384001,
15051KS034,0,0.5,ATOC,HT1080,MS384001,
15051KS035,0,1,ATOC,HT1080,MS384001,
15051KS036,0,1,ATOC,HT1080,MS384001,
15051KS037,0,2,ATOC,HT1080,MS384001,
15051KS038,0,2,ATOC,HT1080,MS384001,
15051KS039,0,4,ATOC,HT1080,MS384001,
15051KS040,0,4,ATOC,HT1080,MS384001,
15051KS041,1.25,0.5,ATOC,HT1080,MS384001,b
15051KS042,1.25,0.5,ATOC,HT1080,MS384001,b
15051KS043,1.25,1,ATOC,HT1080,MS384001,b
15051KS044,1.25,1,ATOC,HT1080,MS384001,x
