cmpd,plate.384,row.384,column.384,available,plate.96,row.96,column.96
1500277,MS384001,E,3,,MS096001,A,2
1500430,MS384001,E,4,,MS096001,A,3
300547,MS384001,E,5,,MS096001,A,4
1504185,MS384001,E,6,,MS096001,A,5
1505312,MS384001,E,7,,MS096001,A,6
1504132,MS384001,E,8,,MS096001,A,7
1505302,MS384001,E,9,,MS096001,A,8
1505300,MS384001,E,10,,MS096001,A,9
1600561,MS384001,E,11,,MS096001,A,10
300545,MS384001,E,12,,MS096001,A,11
300540,MS384001,E,13,,MS096002,A,2
300110,MS384001,E,14,,MS096002,A,3
300111,MS384001,E,15,,MS096002,A,4
300117,MS384001,E,16,,MS096002,A,5
300118,MS384001,E,17,,MS096002,A,6
300119,MS384001,E,18,,MS096002,A,7
300132,MS384001,E,19,,MS096002,A,8
300133,MS384001,E,20,,MS096002,A,9
300148,MS384001,E,21,,MS096002,A,10
307043,MS384001,E,22,,MS096002,A,11
240576,MS384001,F,3,,MS096001,B,2
1504044,MS384001,F,4,,MS096001,B,3
10100003,MS384001,F,5,,MS096001,B,4
300532,MS384001,F,6,,MS096001,B,5
205113,MS384001,F,7,,MS096001,B,6
1500680,MS384001,F,8,,MS096001,B,7
200123,MS384001,F,9,,MS096001,B,8
200523,MS384001,F,10,,MS096001,B,9
200789,MS384001,F,11,,MS096001,B,10
200436,MS384001,F,12,,MS096001,B,11
307045,MS384001,F,13,,MS096002,B,2
307047,MS384001,F,14,,MS096002,B,3
307050,MS384001,F,15,,MS096002,B,4
307055,MS384001,F,16,,MS096002,B,5
307056,MS384001,F,17,,MS096002,B,6
307058,MS384001,F,18,,MS096002,B,7
307059,MS384001,F,19,,MS096002,B,8
310001,MS384001,F,20,,MS096002,B,9
310008,MS384001,F,21,,MS096002,B,10
310018,MS384001,F,22,,MS096002,B,11
240645,MS384001,G,3,,MS096001,C,2
210554,MS384001,G,4,,MS096001,C,3
200040,MS384001,G,5,,MS096001,C,4
1500246,MS384001,G,6,,MS096001,C,5
1500754,MS384001,G,7,,MS096001,C,6
300538,MS384001,G,8,,MS096001,C,7
210658,MS384001,G,9,,MS096001,C,8
1500282,MS384001,G,10,,MS096001,C,9
1500651,MS384001,G,11,,MS096001,C,10
1504207,MS384001,G,12,,MS096001,C,11
310019,MS384001,G,13,,MS096002,C,2
310004,MS384001,G,14,,MS096002,C,3
310012,MS384001,G,15,,MS096002,C,4
310002,MS384001,G,16,,MS096002,C,5
310025,MS384001,G,17,,MS096002,C,6
310041,MS384001,G,18,,MS096002,C,7
307031,MS384001,G,19,,MS096002,C,8
1501159,MS384001,G,20,,MS096002,C,9
240660,MS384001,G,21,,MS096002,C,10
240642,MS384001,G,22,,MS096002,C,11
1503984,MS384001,H,3,,MS096001,D,2
1500131,MS384001,H,4,,MS096001,D,3
1500346,MS384001,H,5,,MS096001,D,4
1501209,MS384001,H,6,,MS096001,D,5
310016,MS384001,H,7,,MS096001,D,6
211031,MS384001,H,8,,MS096001,D,7
210242,MS384001,H,9,,MS096001,D,8
210238,MS384001,H,10,,MS096001,D,9
201507,MS384001,H,11,,MS096001,D,10
210239,MS384001,H,12,,MS096001,D,11
1600025,MS384001,H,13,,MS096002,D,2
1600075,MS384001,H,14,,MS096002,D,3
201540,MS384001,H,15,,MS096002,D,4
2300330,MS384001,H,16,,MS096002,D,5
400011,MS384001,H,17,,MS096002,D,6
1701001,MS384001,H,18,,MS096002,D,7
1701047,MS384001,H,19,,MS096002,D,8
1701049,MS384001,H,20,,MS096002,D,9
210674,MS384001,H,21,,MS096002,D,10
1800166,MS384001,H,22,,MS096002,D,11
210203,MS384001,I,3,,MS096001,E,2
201697,MS384001,I,4,,MS096001,E,3
201716,MS384001,I,5,,MS096001,E,4
210025,MS384001,I,6,,MS096001,E,5
