Plate	Repeat	End time	Start temp.	End temp.	BarCode																		 
1	1	8:22:32 PM	25.5	25.7	02061KS001																		 
																							 
Alamar Blue (Counts)																							 
170																							 
																							 
1678	1820	1814	1839	1827	1835	1721	1838	1733	1783	1770	1775	1899	1794	1867	1812	1759	1884	1906	1837	1794	1797	1772	1726
1824	1800	1788	1975	1892	1850	1805	1792	1849	1705	1752	1758	1842	1743	1811	1776	1826	1852	1921	1914	1850	1825	1944	1696
1794	1855	41335	41300	41235	40609	41867	42281	41213	41218	40381	40019	38502	38919	40500	38577	41133	40401	40850	39675	40245	41770	1811	1824
1728	1899	37287	37091	38210	37824	38350	37038	41768	41266	40865	40202	36187	37074	38753	36095	36950	37142	39753	39572	39754	36629	1840	1784
1786	1853	38280	38465	37539	37739	40142	37626	38622	36860	38270	38348	35981	37327	37604	36290	38469	37371	36107	34455	36133	36791	1938	1763
1757	1976	38095	39342	38291	37598	37363	37707	39799	37547	37502	34933	34908	37004	37135	36789	37260	37167	36959	36257	36345	37206	1889	1731
1725	1933	35975	38182	37417	36689	38845	39155	38907	37290	36927	36595	37251	39054	36049	36571	36811	37086	38015	38168	38608	36577	1851	1755
1767	1869	39235	38152	38131	37200	39238	37167	38277	38066	37041	36485	33539	36031	35304	36009	35694	35743	37073	34781	36155	37435	1915	1706
1742	1849	38553	38824	39524	38120	37150	35409	38000	37550	35338	37653	34543	36687	36726	37589	36346	35603	36164	36435	36454	39590	1835	1759
1786	1968	37786	38507	37066	36165	36951	37080	37443	38453	36346	35573	34024	36080	37063	35723	36907	36742	36011	35787	36273	37787	1837	1738
1756	1795	37792	37849	38780	37151	37534	36473	32105	38209	37894	36088	35149	36475	37823	36635	37948	37640	38125	33560	37743	37057	1837	1771
1681	1819	38239	38055	36972	35206	35455	38940	36495	37685	37596	36956	35994	37304	38513	37885	36671	37598	34786	36140	37439	37124	1757	1720
1706	1801	37899	35539	36991	37151	37383	38396	40396	40710	39801	40579	36295	36582	34945	36664	37731	36275	39489	40380	39126	36229	1758	1732
1723	1769	42000	40092	40918	39249	40515	39942	41283	40655	41165	41485	39932	39609	39926	41157	40876	40877	38532	39164	39360	39790	1815	1731
